temperature,top_p,overlap,rouge-1,rouge-2,rouge-L,rouge-Lsum,bleu-score,bertscore-precision,bertscore-recall,bertscore-f1,time (seconds)
0.3,0.7,0.0,0.762,0.571,0.407,0.407,2.369,0.665,0.705,0.684,138.9
0.3,0.7,0.05,0.847,0.698,0.563,0.563,24.062,0.76,0.788,0.774,141.419
0.3,0.7,0.1,0.803,0.672,0.561,0.569,18.797,0.743,0.776,0.759,144.589
0.3,0.7,0.2,0.709,0.558,0.445,0.445,15.478,0.705,0.732,0.718,170.714
0.3,0.8,0.0,0.788,0.58,0.404,0.404,2.653,0.676,0.709,0.692,138.547
0.3,0.8,0.05,0.839,0.756,0.687,0.687,48.959,0.83,0.84,0.835,135.56
0.3,0.8,0.1,0.846,0.694,0.559,0.559,24.104,0.78,0.802,0.791,138.905
0.3,0.8,0.2,0.766,0.593,0.465,0.465,18.813,0.712,0.734,0.723,166.881
0.3,0.9,0.0,0.796,0.625,0.442,0.442,22.643,0.709,0.75,0.729,135.5
0.3,0.9,0.05,0.826,0.671,0.557,0.557,22.033,0.751,0.775,0.763,140.872
0.3,0.9,0.1,0.806,0.552,0.392,0.392,1.397,0.666,0.692,0.679,143.451
0.3,0.9,0.2,0.826,0.727,0.641,0.641,45.166,0.808,0.822,0.815,164.306
0.3,1.0,0.0,0.753,0.537,0.394,0.394,0.825,0.669,0.687,0.677,133.392
0.3,1.0,0.05,0.779,0.547,0.399,0.41,1.091,0.691,0.707,0.699,130.185
0.3,1.0,0.1,0.675,0.583,0.49,0.49,20.79,0.744,0.76,0.751,139.976
0.3,1.0,0.2,0.798,0.667,0.57,0.586,35.595,0.775,0.791,0.783,142.618
0.5,0.7,0.0,0.782,0.561,0.412,0.412,2.655,0.675,0.7,0.687,134.936
0.5,0.7,0.05,0.837,0.755,0.686,0.686,48.655,0.83,0.84,0.835,137.016
0.5,0.7,0.1,0.781,0.591,0.403,0.403,6.368,0.701,0.735,0.717,137.321
0.5,0.7,0.2,0.763,0.564,0.401,0.401,2.353,0.668,0.708,0.687,163.789
0.5,0.8,0.0,0.741,0.545,0.383,0.408,0.808,0.663,0.693,0.678,133.991
0.5,0.8,0.05,0.793,0.659,0.553,0.553,17.772,0.747,0.77,0.759,135.061
0.5,0.8,0.1,0.847,0.734,0.597,0.597,41.417,0.791,0.828,0.809,141.941
0.5,0.8,0.2,0.699,0.528,0.385,0.385,3.167,0.68,0.698,0.688,157.246
0.5,0.9,0.0,0.737,0.7,0.671,0.671,38.962,0.816,0.84,0.827,131.964
